CandidateSLEOP_ID,CandidateSLEOP_UUID,FullName,FirstName,MiddleName,SurName,PoliticalParty,District,"City Council",Locality,Constituency,Ward,"Election Type","Election Year",Profile,CandidatePhoto
40,06a94065-3c97-40f6-8c5b-1ba0ee174108,"John Karimu",John,,Karimu,NUP,,,,,,Presidential,1996,"John Arouna Karimu is a Mende hailed from Daru Village, Kailahun District, in the Eastern Region of Sierra Leone.
He was a Lecturer at Fourah Bay College, where he met his wife Gertrude Gbessay Karimu née Sellu who was a student there as well. He later worked for the Bo/Pujehun Project. He then became the Director of CUSO in Gambia.
He later became the Finance Minister in Sierra Leone during the military rule of Valentine Strasser (1993-1996). He was the presidential candidate of the National Unity Party in the 1996 national elections. In that election, Karimu received 5.3% of the national vote and lost easily to Ahmed Tejan Kabbah. In December 1996, Karimu accepted a position in the cabinet of Kabbah as the Secretary of Housing and Environment. However, Karimu was eventually deposed, along with the rest of the government, when Major Johnny Paul Koroma overthrew the government on 25 May 1997. During this period, he worked as a Director with The World Bank in Papua New Guinea. He later became the Commissioner of the National Revenue Authority(NRA)-The highest paid civil Servant in Sierra Leone.",/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
81,d9887f21-50b5-4b93-b532-ce61e2fc7797,"Mohamed C Bah",Mohamed,C,Bah,NDA,,,,,,Presidential,"2023, 2018","Mohamed C. Bah was born in Freetown and grew up in Koidu Town, Kono District, the Eastern part of Sierra Leone.
He attended the UMC Boys primary school and the Ansarul Islamic Boys Secondary School before he moved back to Freetown.
Mohamed C. Bah attended sixth form at Saint Edwards Secondary School before he immigrated to the United States of America.
He attended the prestigious Strayer University and Arizona State University holding a post graduate degree in micro business leadership and  global human resource Finance.
Mohamed C. Bah has written dozens of  widely published articles on Sierra Leone’s economy, debt elimination strategies and how to build a better economy in Sub Saharan Africa.
He is an economist with a prudent vision on how to manage Fortune 500 business portfolios with the goal of amassing huge revenues and profit-making.
From 2002 to 2006, he was the founding President of  FPU- Georgia, USA, where his reputable organization supported the amputees and war wounded with millions of dollars worth of prosthetic limbs, medical supplies and used clothing.
His organization also donated containers worth more than two million dollars during the height of the Ebola crisis in Sierra Leone.
In 2007 - 2009, as the President of the Sierra Leonean Community in Atlanta, Georgia, he supported the Blind school in Freetown, with a brand New Kitchen and Chimney for the blind students.
He also pioneered the effort with the city of Atlanta’s proclamation of April 27 as a public holiday for Sierra Leoneans living in Georgia.
In 2015, he was elected as the Leader of the National Democratic Allaince and contested the 2018  Elections as the Presidential Candidate of the NDA party.
On February 04, 2023, Mohamed C. Bah was endorsed by his party as the 2023 Presidential Candidate for the June 24, 2023 multi - tier elections.
Mohamed C. Bah has worked in the United States for many Fortune 500 companies. He has managed  a 25 million dollar project on research and development for two bio medical companies and offered strategic planning in micro economic performances and revenue streamlining.Mohamed C. Bah lives in Maryland with his wife and two sons. His hobbies are reading and fishing. He is currently working on writing his first book “Economic Freedom.”",/sites/default/files/2023-04/mohamed-c-bah.jpg
97,660cd283-2b3d-4fc3-8e37-7c07cbc44ff1,"Emilia Lolloh Tongi",Emilia,Lolloh,Tongi,IND,Kailahun,,,"Constituency 1",,Parliamentary,2018,"Born in Buedu, Kissi Tongi Chiefdom, Constituency 01- Kailahun District, Honourable Emilia Loloh Tongi is a Banker and Bilingual Specialist with a Higher Diploma in Office Studies from the College of Business Studies in France. She had worked in the Bank of Credit and Commerce International in France and served as bi-lingual Secretary at the Sierra Leone Embassy in France. As a Bilingual Secretary, Honourable Tong nursed a passion for politics. With the call of her people, she decided to take on one of her toughest challenges by standing as an independent candidate to compete for the Member of Parliament role in her constituency. Amidst all the challenges from her male competitors, intimidation, and financial hurdles, she was able to stand the test of time. She won the parliamentary seat to represent her people in the Sierra Leone House of Parliament in March 2018.
Her distinguished fortitude and passion for Accountability, Health, Transportation, and Water issues affecting women and children have made her a strong advocate for women’s empowerment through effective resource management, stronger and beneficial international relationship cultivation, and better employment opportunities for the people of Sierra Leone.
The above focus and passion did not go unnoticed as Honourable Tongi established herself as a strong advocate for the abovementioned issues. She is, therefore, among the very few women Members of Parliament to serve as Deputy Chairperson for Water Resources Committee. In addition, she is also a member of three other Committees: the Public Account, Foreign Affairs and International Cooperation and Labour and Social Security Committees.
Honourable Tongi has identified health- especially for pregnant women, safe drinking water, and transportation as major constituency needs for her people. Therefore, she is working to ensure better legislation and oversight for effective service delivery to her people to the people of Sierra Leone.",/sites/default/files/2023-04/Hon_Emilia_Lolloh_Tongi_Const_001.jpg
114,f1c0ea3a-fce3-4b06-a039-d550bda71d96,"Sarty Banya",Sarty,,Banya,SLPP,Kailahun,,,"Constituency 4",,Parliamentary,2018,"Was born on 15th March 1978 Kailahun town, Eastern Region of Sierra Leone. Honourable Sarty Bany is a Social worker and has a Diploma in Psychosocial Counselling and Community Development.
The love he has for his people urged him to go into politics and became a member of parliament for Constituency 04 in March 2018 under the Sierra Leone peoples Party.
Hon. Sarty Bany is a member of four Committees in the house of Parliament; health and Sanitation Committee, Fisheries and Marine Resources Committee, Internal Affairs Committee and Local government and Rural Development Committee,
As challenges like Rehabilitation of Feeder Roads, construction of Market Centers, Electricity and construction of schools and health centers are prominent in his Constituency; he became a very strong advocator in the house of parliament making sure that challenges faced by his Constituency members are addressed",/sites/default/files/2023-04/sarty-banya.jpg
130,d60cfc82-fef0-4150-94d5-8f88b8db72ff,"Betty Komba",Betty,,Komba,NGC,Kailahun,,,"Constituency 6",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png
147,f92f40dd-110e-4edd-9590-8a90e206231b,"Musa Keikula",Musa,,Keikula,IND,Kailahun,,,"Constituency 9",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
165,e183967f-2eeb-4044-b420-44c5594b21b3,"Bockarie Kallon",Bockarie,,Kallon,IND,Kenema,,,"Constituency 12",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
181,9357d664-a0d5-4240-bc0a-e41c3a6a3363,"Ishmail Conteh",Ishmail,,Conteh,UP,Kenema,,,"Constituency 14",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
198,fdf92648-7f46-4cb6-a5f3-91e79cdf6794,"Andrew Musa",Andrew,,Musa,APC,Kenema,,,"Constituency 16",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
214,552cf362-134f-4314-b3d7-987ec07e3eb9,"Mathew Sahr Nyuma",Mathew,Sahr,Nyuma,SLPP,Kenema,,,"Constituency 19",,Parliamentary,2018,"He was elected Member of Parliament for Constituency 019 in the Kenema District Eastern Region under the Sierra Leone People’s Party (SLPP) in the 2007-2012 elections. His people trusted him so much as they believed he served them well and they decided to present him and elect him again in the 2012 election. Having served in that capacity for two terms ensuring that better legislations and oversight are done for effective service delivery to his people, they had no option but to allow him to take the mantle of leadership again for the third term as Member of Parliament in the just concluded March 2018 elections. 
Honourable Matthew Sahr Nyuma is the Deputy Leader of Government Business and Chairman for Information Committee. Also he is the Deputy Chairman for the Appointment and public service committee. He is a member of three other Committees in the house of Parliament; Health and Sanitation Committee, Transport and Aviation Committee and the Ethics Committee,
Honourable Matthew Sahr Nyuma is a very strong advocate for issues affecting his people like the Construction of educational facilities, Market construction, Construction of major roads and provision of recreational facilities which are the major needs for his people.",/sites/default/files/2023-05/Hon%20Mathew%20Sahr%20Nyuma%20deputy%20leader%20%20Const%20019%20Kenema%20district%20id%20%20no%2C.jpeg
230,bfab6046-1297-4c84-8fc9-7003a8bb8524,"Joseph Sandi",Joseph,,Sandi,RUFP,Kenema,,,"Constituency 21",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
246,9440237b-597c-45b3-86f6-6c4ef089a58f,"Moses Amara",Moses,,Amara,NGC,Kono,"Koidu-New Sembehun City",,"Constituency 24",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
291,1c0111ec-b509-461c-b097-af8e21378d0a,"Aiah Fomba",Aiah,,Fomba,NGC,Kono,"Koidu-New Sembehun City",,"Constituency 28",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
319,881629bf-f8b2-4a83-877a-0ab7540d3d49,"Alimamy Pallo Bangura",Alimamy,Pallo,Bangura,RUFP,,,,,,Presidential,2002,"Alimamy Pallo Bangura is a politician in Sierra Leone. Over the past 12 years, Bangura has played a major role in Sierra Leonean politics and was a member of the Revolutionary United Front Party, where he replaced rebel leader Foday Sankoh following Sankoh's May 2000 arrest and 2002 electoral disqualification. His posts have included: Ambassador to the United Nations from Sierra Leone (1994–1996); Foreign Minister (1997–1998); Minister of Energy and Power (1999–2001); and Secretary General of the Revolutionary United Front Party (2002–2007). He also ran for president in 2002 alongside former cabinet minister Peter Vandy, but the pair only received 1.7% of the presidential vote, while the RUF received only 2.2% of the parliamentary vote.
Education
Bangura holds a master's degree from the School of Oriental and African Studies, University of London.
Political beliefs
The RUF was made famous for its brutal war tactics that included kidnapping and torture. However, Bangura sought to change the face of the party. He describes himself as a supporter of democracy and a Christian. He has said ""I'm not one who looks down on anybody. I do not reject anybody. I do not condemn anybody. The kind of Christian that I am is to accept everybody as God's child, and God having a purpose for each one. That is how I see it.""",/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
336,9400ab67-1e29-4206-bb92-270a4a8b0e61,"Foday Tarawalie",Foday,,Tarawalie,SLPP,Bombali,,,"Constituency 32",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
401,12e48310-b2f1-48ed-b768-eee0796ed397,"Sulaiman Fofanah",Sulaiman,,Fofanah,SLPP,Bombali,,,"Constituency 36",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
422,5bdf642e-40fc-4b98-9bc8-51ffcd06066a,"Bereteh Kabba",Bereteh,,Kabba,RUFP,Kailahun,,,,"Ward 1","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
438,a876f748-c5a7-4bc7-9d8e-16b3a8593299,"Ahmid Munirr Fofanah",Ahmid,Munirr,Fofanah,APC,"Port Loko",,,,,"District Chairperson",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
454,357636d7-0fda-4dab-ada3-3c42195f0ee0,"Victoria Gallia",Victoria,,Gallie,SLPP,Kailahun,,,,"Ward 4","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-1.png
473,44515b83-54ab-4791-8e6c-738362db8404,"Alhassan Cole",Alhassan,,Cole,APC,"Western Rural",,,,,"District Chairperson",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
502,d663b1a2-5b34-499d-b57f-ec8e38824a37,"Allieu Kawa",Allieu,,Kawa,APC,Kailahun,,,,"Ward 8","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
522,de638e15-eb6d-4616-86ad-19357c8bd053,"Saa Emerson Lamina",Saa,Emerson,Lamina,APC,Kono,"Koidu-New Sembehun City",,,,Mayor,2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
538,759ba1ab-05ec-4ef5-a34c-85cf9d9b0633,"Alusine Sao Kong",Alusine,Sao,Kong,APC,Bonthe,"Bonthe Municipal",,,,Mayor,2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
567,18978fe8-9156-4628-9022-4b7ccc6b049c,"Hallie Kendor Momodu",Hallie,Kendor,Momodu,APC,Kailahun,,,,"Ward 13","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
607,079f2f46-1410-4716-8cf6-7e2833480881,"Patrick Moiwo",Patrick,,Moiwo,SLPP,Kailahun,,,,"Ward 17","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
658,12690f9c-750d-4560-afbe-8d9443c892b3,"Hawa Ansu",Hawa,,Anus,PMDC,Kailahun,,,,"Ward 21","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-1.png
845,9586974f-e45a-4536-9b5b-42bcfb499a78,"Augustine Foyoh",Augustine,,Foyoh,APC,Kailahun,,,,"Ward 27","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
878,a6626169-2f51-4e4a-89ee-d8083aa4f1a0,"Lucy S. Kamara",Lucy,S.,Kamara,APC,Kenema,"Kenema City",,,"Ward 30","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-1.png
903,e387296e-6b10-4d7b-b364-d47d568f9a69,"John Fornah",John,,Fornah,APC,Kenema,"Kenema City",,,"Ward 31","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
968,bddcf98c-d3a7-4cc0-9cf4-3716e948a164,"Vandi Sheku",Vandi,,Sheku,C4C,Kailahun,,,,"Ward 1","Local Council",2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1045,9475a404-8879-48c4-b654-13d237de0581,"Jeremiah Koroma Babar",Jeremiah,Koroma,Babar,NGC,Kailahun,,,,"Ward 4","Local Council",2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1075,60e79944-e5d2-46bd-995b-e870cd127165,"Manju Mansaray",Manju,,Mansaray,NGC,Bombali,,,"Constituency 38",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1092,b9a431eb-7984-43e8-b1d9-d4371915fa77,"Salu Koroma Hassan","Salu Koroma",,Hassan,SLPP,Falaba,,,"Constituency 41",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1108,39c8eb15-abaf-4ce6-8059-752ec85c7151,"Foray Fofanah",Foray,,Fofanah,CDP,Koinadugu,,,"Constituency 45",,Parliamentary,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1210,29bc4958-67a6-4255-bbef-102ca3091e5d,"Isatu Kamara",Isatu,,Kamara,APC,Kenema,,,,"Ward 32","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1231,1c5d5d36-567c-407d-b0da-ca36140cf35e,"Mottia Ahmed Sannoh",Mottia,Ahmed,Sannoh,CDP,Kenema,"Kenema City",,,,Mayor,"2012, 2018",,/sites/default/files/default_images/sloedp-ai-generated-female-profile-photo-2.png
1256,624fc6e8-d0c1-4619-978a-795851f1a057,"Brima Tangabay",Brima,,Tangabay,NGC,Bo,"Bo City",,,,Mayor,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1282,29313cf0-6627-414e-b9c2-c15fe7608a13,"Sahr Yamba",Sahr,,Yamba,APC,Kono,"Koidu-New Sembehun City",,,,Mayor,2018,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1309,cbff14a3-4688-4731-a4c5-5ad1edd9bae2,"Mohamed Foday Tubah",Mohamed,Foday,Tubah,UDM,Kenema,,,,"Ward 41","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
1334,63aedf34-9616-4013-b90b-a641b155f1dd,"Mambu Swaray",Mambu,,Swaray,APC,Kenema,,,,"Ward 36","Local Council",2012,,/sites/default/files/default_images/sloedp-ai-generated-male-profile-photo-2.png
