Candidate_SLEOP_ID,Candidate_SLEOP_UUID,CandidateFullname,CandidateFirstName,CandidateOtherNames,CandidateSurname,CandidatePoliticalPartyID,CandidatePoliticalParty,CandidatePoliticalPartyLongName,CandidatePoliticalPartyColor,CandidatePoliticalPartyLogo,SLEOP_ID,SLOEDP_UUID,ElectionDate,ElectionType,ResultType,ElectionRegion,ElectionDistrict,ElectionConstituency,ElectionWard,ElectionPollingCentre,ValidVotes,ValidVotesPercent,ElectionRound,ResultStatus,Winner
45,351d7c21-45eb-4f71-8658-c463673b75c4,"Ahmad Tejan Kabbah",Ahmad,Tejan,Kabbah,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,355,37c76e97-e506-40d8-a0ae-730bf148821e,2002,Presidential,"National Results",,,,,,"1,336,423",70.06,"Round 1","Provisional Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,349,c5882d92-6c85-42b9-9e69-173ead9fe8f3,2018,Presidential,"National Results",,,,,,"1,317,047",51.77,"Round 2","Certified Results",Yes
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,374,0f198570-8ce1-4986-bbab-e038073d2815,2012,Presidential,"National Results",,,,,,"1,314,881",58.65,"Round 1","Provisional Results",Yes
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,348,fa4e5936-0417-4a66-9659-34910f546ac8,2018,Presidential,"National Results",,,,,,"1,227,020",48.23,"Round 2","Certified Results",No
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,351,26edadee-766a-46ca-8be9-161c244fca22,2018,Presidential,"National Results",,,,,,"1,097,482",43.26,"Round 1","Certified Results",Yes
33,8db3e207-7f16-4c2e-a783-94b8136fead7,"Samura Mathew Wilson Kamara",Samura,"Mathew Wilson",Kamara,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,350,398c469f-b87d-45e5-b626-d1e95c290569,2018,Presidential,"National Results",,,,,,"1,082,748",42.68,"Round 1","Certified Results",No
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,372,bc65fce9-37de-4008-88db-c29b6aa56264,2007,Presidential,"National Results",,,,,,"950,407",54.62,"Round 2","Provisional Results",Yes
32,c6a97d3a-10b4-4d4c-a0b7-7acb5fc4397d,"Julius Maada Wonie Bio",Julius,"Maada Wonie",Bio,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,375,91c213ea-0878-4467-9587-6e22433d2076,2012,Presidential,"National Results",,,,,,"837,517",37.36,"Round 1","Provisional Results",No
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,364,bcbc7314-897f-45ac-957b-7ee1afd52a91,2007,Presidential,"National Results",,,,,,"815,523",44.34,"Round 1","Provisional Results",Yes
354,c0b6ee2f-4a60-48d0-b5d6-eeab6615a96c,"Solomon Ekuma Dominic Berewa",Solomon,"Ekuma Dominic",Berewa,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,373,e19ca83d-9e95-4194-8f63-c06e2b4a1f25,2007,Presidential,"National Results",,,,,,"789,651",45.38,"Round 2","Provisional Results",No
354,c0b6ee2f-4a60-48d0-b5d6-eeab6615a96c,"Solomon Ekuma Dominic Berewa",Solomon,"Ekuma Dominic",Berewa,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,365,5fda5cc7-0dc9-48ab-be2c-794ca545c525,2007,Presidential,"National Results",,,,,,"704,012",38.28,"Round 1","Provisional Results",No
91,cda5ea29-d656-48ce-bfe3-33a27c058e4e,"Ernest Bai Koroma",Ernest,Bai,Koroma,19,APC,"All Peoples Congress",FF333C,/sites/default/files/party-logos/apc-party.jpg,9086,07703fc9-4d65-438e-89d2-e63de318a2a3,2012,Presidential,"Regional Results",Northern,,,,,"682,142",89.78,"Round 1","Certified Results",Yes
45,351d7c21-45eb-4f71-8658-c463673b75c4,"Ahmad Tejan Kabbah",Ahmad,Tejan,Kabbah,20,SLPP,"Sierra Leone Peoples Party",009900,/sites/default/files/party-logos/slpp-party.jpg,48,d0416346-7847-4ba8-8fa1-d0664d5ffec6,1996,Presidential,"National Results",,,,,,"603,008",59.00,"Round 2","Certified Results",Yes
